label,url_length,num_dots,repeated_digits,special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamation,num_hashtags,num_percent_signs,domain_length,domain_hyphens,domain_special_chars,num_subdomains,avg_subdomain_length,subdomain_complexity,subdomain_hyphen,subdomain_repeated_digits,path_length,has_query,has_fragment,has_anchor,domain_age_days,name_servers,ssl_valid,content_length,num_links,num_forms,num_scripts,num_iframes,favicon_present,login_keywords_count,brand_keywords_count,has_password_field,has_hidden_fields,has_external_scripts,is_error_page,error_page_brand_impersonation,error_page_urgent_language,is_established_domain,has_privacy_policy,has_contact_info,has_terms_of_service,domain_reputation_score
0,24,1,0,0,0,1,0,0,0,0,0,0,0,13,0,0,1,4,1.8758694836404475,0,0,1,0,0,0,1194,3,1,8720,138,2,12,0,1,0,0,0,0,0,0,0,0,1,1,1,1,8
0,15,1,0,0,0,1,0,0,0,0,0,0,0,18,0,0,1,4,1.4947589286539924,0,0,1,0,0,0,2500,2,1,14352,108,1,11,1,1,0,1,0,0,0,0,0,0,1,1,1,1,9
0,16,1,0,0,0,1,0,0,0,0,0,0,0,15,0,0,1,2,1.615040347499897,0,0,3,0,0,0,1314,2,1,10703,141,1,15,2,1,0,1,0,0,0,0,0,0,1,1,1,1,9
0,16,1,0,0,0,1,0,0,0,0,0,0,0,15,0,0,1,3,1.9415060106214708,0,0,3,0,0,0,1985,2,1,7799,52,2,19,2,1,0,0,0,0,0,0,0,0,1,1,1,1,8
0,21,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,2,1.824231152069494,0,0,2,0,0,0,1422,2,1,9920,148,2,17,1,1,0,0,0,0,0,0,0,0,1,1,1,1,9
0,24,1,0,0,0,1,0,0,0,0,0,0,0,19,0,0,1,4,1.4531206759176922,0,0,2,0,0,0,1092,2,1,12687,121,1,10,2,1,0,0,0,0,0,0,0,0,1,1,1,1,8
0,24,1,0,0,0,1,0,0,0,0,0,0,0,16,0,0,1,4,1.8167154457556451,0,0,2,0,0,0,3327,3,1,13220,129,1,14,0,1,0,0,0,0,0,0,0,0,1,1,1,1,9
0,16,1,0,0,0,1,0,0,0,0,0,0,0,19,0,0,1,5,1.5811830827106648,0,0,1,0,0,0,1181,3,1,10168,58,1,19,0,1,0,0,0,0,0,0,0,0,1,1,1,1,8
0,16,1,0,0,0,1,0,0,0,0,0,0,0,12,0,0,1,5,1.417376083963588,0,0,1,0,0,0,2346,3,1,7947,125,1,17,1,1,0,0,0,0,0,0,0,0,1,1,1,1,9
0,24,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,3,1.849237348166191,0,0,2,0,0,0,3512,2,1,6133,59,2,13,1,1,1,0,0,0,0,0,0,0,1,1,1,1,9
0,21,1,0,0,0,1,0,0,0,0,0,0,0,17,0,0,1,2,1.7704208724830885,0,0,2,0,0,0,3112,2,1,5275,77,2,5,2,1,0,1,0,0,0,0,0,0,1,1,1,1,8
0,17,1,0,0,0,1,0,0,0,0,0,0,0,17,0,0,1,2,1.439779720874336,0,0,3,0,0,0,2292,2,1,9401,109,1,7,2,1,0,0,0,0,0,0,0,0,1,1,1,1,9
0,22,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,5,1.7960764570601024,0,0,1,0,0,0,4487,3,1,13833,74,1,8,0,1,0,1,0,0,0,0,0,0,1,1,1,1,8
0,19,1,0,0,0,1,0,0,0,0,0,0,0,18,0,0,1,5,1.5481717914893323,0,0,4,0,0,0,1069,3,1,6651,114,1,16,2,1,1,0,0,0,0,0,0,0,1,1,1,1,8
